NJD,2024,NJD,NJD,Team Level,other,62,0.62,0.56,0.57,9260.0,139.51,34.82,10.43,25.38,5.01,71.3,42.05,31.72,34.82,31.72,120.0,69.0,61.0,250.0,25.0,22.0,1.0,18.0,1.0,71.0,52.0,95.0,164.0,5.0,12.0,97.0,34.0,7.0,22.0,86.0,49.0,54.0,3.71,6.08,25.03,3.0,7.0,15.0,250.0,189.0,189.0,6.0,3.03,6.36,6.36,31.5,31.5,29.72,101.94,21.67,7.18,19.24,3.47,56.81,33.63,19.52,21.67,19.52,85.0,57.0,52.0,194.0,20.0,10.0,0.0,15.0,2.0,50.0,45.0,65.0,122.0,4.0,8.0,85.0,35.0,6.0,28.0,74.0,36.0,32.0,3.19,3.91,14.57,4.0,4.0,12.0,194.0,142.0,142.0,11.0,2.03,1.97,2.47,21.24,21.24,19.4
NJD,2024,NJD,NJD,Team Level,all,62,0.54,0.52,0.51,225118.0,1994.44,218.22,137.57,476.99,67.93,1051.9,753.38,205.64,219.93,207.24,1800.0,906.0,1160.0,3866.0,185.0,239.0,25.0,356.0,3.0,854.0,1069.0,1615.0,2521.0,218.0,497.0,1731.0,1475.0,267.0,935.0,1902.0,529.0,275.0,55.11,66.34,96.77,66.0,55.0,64.0,3901.23,2706.0,2729.6,451.0,30.96,51.74,52.29,196.9,198.34,191.89,1878.36,185.51,126.19,463.93,64.22,1016.11,732.04,173.07,184.9,172.44,1638.0,950.0,1010.0,3598.0,153.0,207.0,21.0,348.0,6.0,785.0,1089.0,1485.0,2435.0,209.0,474.0,1756.0,1340.0,282.0,933.0,1913.0,465.0,210.0,55.2,57.74,72.56,63.0,54.0,36.0,3567.37,2588.0,2569.96,418.0,28.01,41.84,41.93,171.58,170.48,163.5
NJD,2024,NJD,NJD,Team Level,5on5,62,0.52,0.51,0.5,183289.0,1529.49,135.2,98.68,387.1,52.1,811.19,599.73,129.61,136.9,131.21,1358.0,726.0,942.0,3026.0,117.0,173.0,18.0,290.0,1.0,633.0,870.0,1241.0,1967.0,201.0,461.0,1352.0,1365.0,232.0,818.0,1549.0,383.0,152.0,43.7,48.43,43.07,56.0,37.0,24.0,3061.23,2084.0,2107.6,413.0,20.55,34.52,35.07,120.68,122.12,120.15,1495.56,122.93,94.2,387.26,51.21,811.87,599.51,118.36,122.33,117.73,1308.0,759.0,823.0,2890.0,102.0,151.0,15.0,298.0,3.0,621.0,892.0,1206.0,1965.0,193.0,442.0,1393.0,1248.0,247.0,818.0,1582.0,369.0,116.0,44.34,46.18,32.42,50.0,41.0,11.0,2859.37,2067.0,2048.96,378.0,19.56,29.34,28.93,113.55,112.46,110.83
NJD,2024,NJD,NJD,Team Level,4on5,62,0.14,0.15,0.16,16982.0,46.96,5.73,2.56,6.84,1.58,15.09,31.2,5.48,5.73,5.48,50.0,13.0,15.0,78.0,4.0,6.0,0.0,2.0,0.0,10.0,41.0,46.0,59.0,4.0,8.0,131.0,43.0,16.0,25.0,38.0,18.0,7.0,1.31,2.34,2.07,2.0,1.0,1.0,78.0,63.0,63.0,19.0,0.58,1.08,1.07,5.24,5.24,5.22,234.64,36.04,22.31,50.62,7.96,133.47,68.59,30.53,36.04,30.53,197.0,122.0,124.0,443.0,28.0,42.0,6.0,33.0,0.0,106.0,110.0,169.0,291.0,8.0,16.0,149.0,21.0,13.0,54.0,218.0,44.0,57.0,6.44,5.45,24.16,7.0,8.0,13.0,443.0,319.0,319.0,2.0,5.86,9.72,9.72,32.18,32.18,28.67
NJD,2024,NJD,NJD,Team Level,5on4,62,0.9,0.88,0.86,15587.0,278.48,42.48,25.89,57.65,9.25,154.31,80.41,38.83,42.48,38.83,272.0,98.0,142.0,512.0,39.0,38.0,6.0,46.0,1.0,140.0,106.0,233.0,331.0,8.0,16.0,151.0,33.0,12.0,70.0,229.0,79.0,62.0,6.38,9.5,26.6,5.0,10.0,24.0,512.0,370.0,370.0,13.0,6.81,9.79,9.79,39.49,39.49,36.8,46.22,4.85,2.49,6.81,1.58,13.97,30.3,4.67,4.85,4.67,48.0,12.0,11.0,71.0,3.0,4.0,0.0,2.0,1.0,8.0,42.0,45.0,57.0,4.0,8.0,129.0,36.0,16.0,33.0,39.0,16.0,5.0,1.24,2.2,1.42,2.0,1.0,0.0,71.0,60.0,60.0,27.0,0.57,0.8,0.8,4.61,4.61,4.6
CAR,2024,CAR,CAR,Team Level,other,61,0.54,0.56,0.58,8384.0,128.76,30.99,8.52,23.31,4.28,70.83,42.08,27.36,30.99,27.36,121.0,59.0,61.0,241.0,28.0,10.0,3.0,15.0,1.0,70.0,56.0,93.0,152.0,3.0,6.0,101.0,19.0,18.0,28.0,89.0,47.0,44.0,3.76,5.37,21.86,2.0,6.0,20.0,241.0,180.0,180.0,15.0,2.54,3.36,3.36,30.16,30.16,27.73,93.03,26.26,6.52,16.33,3.27,48.38,27.25,25.04,26.26,25.04,83.0,45.0,60.0,188.0,21.0,10.0,1.0,15.0,1.0,47.0,34.0,62.0,107.0,5.0,10.0,90.0,11.0,7.0,21.0,59.0,27.0,42.0,2.23,3.32,20.7,3.0,0.0,18.0,188.0,128.0,128.0,10.0,1.96,2.84,2.84,25.38,25.38,24.36
CAR,2024,CAR,CAR,Team Level,all,61,0.56,0.59,0.58,221120.0,2269.14,222.15,149.2,562.16,76.2,1229.14,876.15,209.63,223.08,210.51,1947.0,1168.0,1197.0,4312.0,195.0,245.0,21.0,417.0,7.0,1068.0,1183.0,1752.0,2920.0,200.0,423.0,1950.0,1121.0,349.0,965.0,2273.0,595.0,247.0,64.38,73.81,83.97,62.0,74.0,59.0,4336.52,3115.0,3130.11,419.0,33.1,44.98,45.11,210.14,210.95,202.92,1654.21,176.27,114.03,390.92,55.82,876.18,632.78,167.56,176.38,167.65,1520.0,726.0,775.0,3021.0,168.0,189.0,16.0,288.0,8.0,662.0,931.0,1352.0,2078.0,197.0,431.0,1752.0,1397.0,320.0,973.0,1558.0,464.0,224.0,44.23,56.91,75.13,57.0,57.0,54.0,3015.21,2246.0,2247.88,472.0,25.57,40.81,40.81,161.03,161.22,157.26
CAR,2024,CAR,CAR,Team Level,5on5,61,0.56,0.59,0.58,178043.0,1797.84,151.74,113.02,468.9,60.99,967.82,708.54,145.86,152.66,146.74,1511.0,960.0,1012.0,3483.0,126.0,212.0,16.0,342.0,5.0,833.0,953.0,1385.0,2345.0,177.0,377.0,1528.0,1047.0,290.0,843.0,1853.0,462.0,156.0,51.41,57.66,42.67,53.0,51.0,22.0,3507.52,2471.0,2486.11,370.0,23.56,38.68,38.81,136.48,137.29,134.71,1292.06,118.19,84.32,316.51,43.35,683.48,509.15,113.43,118.3,113.53,1189.0,566.0,621.0,2376.0,120.0,134.0,12.0,232.0,7.0,501.0,761.0,1069.0,1635.0,181.0,399.0,1348.0,1301.0,283.0,862.0,1257.0,361.0,137.0,35.82,44.68,37.7,49.0,49.0,22.0,2370.21,1755.0,1756.88,428.0,17.56,29.82,29.82,105.92,106.13,104.33
CAR,2024,CAR,CAR,Team Level,4on5,61,0.16,0.16,0.18,17133.0,50.01,5.33,2.66,7.25,1.55,15.92,33.3,5.23,5.33,5.23,53.0,13.0,7.0,73.0,7.0,2.0,0.0,2.0,0.0,15.0,40.0,46.0,59.0,9.0,18.0,133.0,36.0,20.0,33.0,41.0,18.0,7.0,1.18,2.4,1.75,0.0,7.0,0.0,73.0,66.0,66.0,25.0,0.6,0.53,0.53,5.4,5.4,5.36,228.34,27.3,21.13,51.82,7.92,131.7,69.13,24.76,27.3,24.76,205.0,104.0,82.0,391.0,24.0,41.0,1.0,38.0,0.0,107.0,99.0,181.0,285.0,7.0,14.0,173.0,37.0,11.0,54.0,207.0,65.0,37.0,5.34,7.58,14.38,4.0,8.0,12.0,391.0,309.0,309.0,7.0,5.57,7.11,7.11,25.75,25.75,24.63
CAR,2024,CAR,CAR,Team Level,5on4,61,0.88,0.89,0.88,17560.0,292.53,34.1,25.0,62.72,9.38,174.57,92.23,31.18,34.1,31.18,262.0,136.0,117.0,515.0,34.0,21.0,2.0,58.0,1.0,150.0,134.0,228.0,364.0,11.0,22.0,188.0,19.0,21.0,61.0,290.0,68.0,40.0,8.03,8.38,17.7,7.0,10.0,17.0,515.0,398.0,398.0,9.0,6.4,2.41,2.41,38.1,38.1,35.12,40.78,4.53,2.06,6.25,1.28,12.62,27.25,4.33,4.53,4.33,43.0,11.0,12.0,66.0,3.0,4.0,2.0,3.0,0.0,7.0,37.0,40.0,51.0,4.0,8.0,141.0,48.0,19.0,36.0,35.0,11.0,8.0,0.85,1.33,2.36,1.0,0.0,2.0,66.0,54.0,54.0,27.0,0.48,1.04,1.04,3.97,3.97,3.94
