awayAbbrev,homeAbbrev,est,id
CBJ,ANA,2024 November 10 20:00:00,2024020238
MTL,BUF,2024 November 11 12:30:00,2024020239
SJS,PHI,2024 November 11 19:00:00,2024020240
DAL,PIT,2024 November 11 19:00:00,2024020241
LAK,CGY,2024 November 11 20:30:00,2024020242
NSH,COL,2024 November 11 21:00:00,2024020243
CAR,VGK,2024 November 11 22:00:00,2024020244
OTT,TOR,2024 November 12 19:00:00,2024020245
NJD,FLA,2024 November 12 19:30:00,2024020246
WPG,NYR,2024 November 12 19:00:00,2024020247
BOS,STL,2024 November 12 20:00:00,2024020248
NYI,EDM,2024 November 12 21:00:00,2024020249
CGY,VAN,2024 November 12 22:00:00,2024020250
CBJ,SEA,2024 November 12 22:00:00,2024020251
DET,PIT,2024 November 13 19:30:00,2024020252
TOR,WSH,2024 November 13 19:30:00,2024020253
CAR,UTA,2024 November 13 21:00:00,2024020254
LAK,COL,2024 November 13 22:00:00,2024020255
VGK,ANA,2024 November 13 22:00:00,2024020256
STL,BUF,2024 November 14 19:30:00,2024020257
PHI,OTT,2024 November 14 19:00:00,2024020258
WPG,TBL,2024 November 14 19:00:00,2024020259
NJD,FLA,2024 November 14 19:00:00,2024020260
SJS,NYR,2024 November 14 19:00:00,2024020261
BOS,DAL,2024 November 14 20:00:00,2024020262
MTL,MIN,2024 November 14 20:00:00,2024020263
NSH,EDM,2024 November 14 21:00:00,2024020264
NYI,VAN,2024 November 14 22:00:00,2024020265
CHI,SEA,2024 November 14 22:00:00,2024020266
PIT,CBJ,2024 November 15 19:00:00,2024020267
WSH,COL,2024 November 15 21:00:00,2024020268
NSH,CGY,2024 November 15 21:00:00,2024020269
VGK,UTA,2024 November 15 21:00:00,2024020270
DET,ANA,2024 November 15 22:00:00,2024020271
STL,BOS,2024 November 16 13:00:00,2024020272
NYI,SEA,2024 November 16 16:00:00,2024020273
EDM,TOR,2024 November 16 19:00:00,2024020274
CBJ,MTL,2024 November 16 19:00:00,2024020275
NJD,TBL,2024 November 16 19:00:00,2024020276
WPG,FLA,2024 November 16 19:00:00,2024020277
BUF,PHI,2024 November 16 19:00:00,2024020278
SJS,PIT,2024 November 16 19:00:00,2024020279
OTT,CAR,2024 November 16 19:00:00,2024020280
DAL,MIN,2024 November 16 20:00:00,2024020281
DET,LAK,2024 November 16 20:00:00,2024020282
CHI,VAN,2024 November 16 22:00:00,2024020283
STL,CAR,2024 November 17 17:00:00,2024020284
NSH,VAN,2024 November 17 22:00:00,2024020285
WSH,VGK,2024 November 17 20:00:00,2024020286
NYR,SEA,2024 November 17 21:00:00,2024020287
CBJ,BOS,2024 November 18 19:00:00,2024020288
COL,PHI,2024 November 18 19:00:00,2024020289
EDM,MTL,2024 November 18 19:30:00,2024020290
ANA,DAL,2024 November 18 20:00:00,2024020291
WSH,UTA,2024 November 18 21:00:00,2024020292
DET,SJS,2024 November 18 22:30:00,2024020293
EDM,OTT,2024 November 19 19:00:00,2024020294
TBL,PIT,2024 November 19 19:00:00,2024020295
MIN,STL,2024 November 19 20:00:00,2024020296
FLA,WPG,2024 November 19 20:00:00,2024020297
ANA,CHI,2024 November 19 20:30:00,2024020298
NYI,CGY,2024 November 19 21:00:00,2024020299
NYR,VAN,2024 November 19 22:00:00,2024020300
VGK,TOR,2024 November 20 19:30:00,2024020301
CAR,PHI,2024 November 20 19:30:00,2024020302
SJS,DAL,2024 November 20 20:00:00,2024020303
NSH,SEA,2024 November 20 22:00:00,2024020304
BUF,LAK,2024 November 20 22:30:00,2024020305
UTA,BOS,2024 November 21 19:00:00,2024020306
VGK,OTT,2024 November 21 19:00:00,2024020307
NYI,DET,2024 November 21 19:00:00,2024020308
CAR,NJD,2024 November 21 19:00:00,2024020309
COL,WSH,2024 November 21 19:00:00,2024020310
TBL,CBJ,2024 November 21 19:00:00,2024020311
SJS,STL,2024 November 21 20:00:00,2024020312
FLA,CHI,2024 November 21 20:30:00,2024020313
NYR,CGY,2024 November 21 21:00:00,2024020314
MIN,EDM,2024 November 21 21:00:00,2024020315
WPG,PIT,2024 November 22 19:00:00,2024020316
BUF,ANA,2024 November 22 22:00:00,2024020317
CHI,PHI,2024 November 23 13:00:00,2024020318
MIN,CGY,2024 November 23 16:00:00,2024020319
SEA,LAK,2024 November 23 16:00:00,2024020320
COL,FLA,2024 November 23 18:00:00,2024020321
VGK,MTL,2024 November 23 19:00:00,2024020322
VAN,OTT,2024 November 23 19:00:00,2024020323
BOS,DET,2024 November 23 19:00:00,2024020324
DAL,TBL,2024 November 23 19:00:00,2024020325
UTA,PIT,2024 November 23 19:00:00,2024020326
NJD,WSH,2024 November 23 19:00:00,2024020327
CAR,CBJ,2024 November 23 19:00:00,2024020328
WPG,NSH,2024 November 23 19:00:00,2024020329
STL,NYI,2024 November 23 19:30:00,2024020330
BUF,SJS,2024 November 23 20:00:00,2024020331
NYR,EDM,2024 November 23 22:00:00,2024020332
UTA,TOR,2024 November 24 19:00:00,2024020333
COL,TBL,2024 November 25 19:00:00,2024020334
WSH,FLA,2024 November 25 19:00:00,2024020335
NSH,NJD,2024 November 25 19:00:00,2024020336
STL,NYR,2024 November 25 19:00:00,2024020337
VGK,PHI,2024 November 25 19:00:00,2024020338
DAL,CAR,2024 November 25 19:00:00,2024020339
CGY,OTT,2024 November 25 19:30:00,2024020340
DET,NYI,2024 November 25 19:30:00,2024020341
WPG,MIN,2024 November 25 20:00:00,2024020342
